Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Reliable as Ussual	Reliable as Ussual	1	-1	 Reliable[0] as[0] Ussual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Friendly staff, great breakfast, good location	Friendly staff, great breakfast, good location	3	-1	 Friendly[1] staff[0] great[2] breakfast[0] good[1] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A-OK for a one nighter	A-OK for a one nighter	1	-1	 A[0] OK[0] for[0] a[0] one[0] nighter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Customer service at its finest.	Customer service at its finest.	1	-1	 Customer[0] service[0] at[0] its[0] finest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Concord Cafe is the best in Avalon!!!	Concord Cafe is the best in Avalon!	2	-1	 Concord[0] Cafe[0] is[0] the[0] best[1] in[0] Avalon[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great Family Spot	Great Family Spot	3	-1	 Great[2] Family[0] Spot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
We stayed in the best Hotel In Lake Tahoe	We stayed in the best Hotel In Lake Tahoe	2	-1	 We[0] stayed[0] in[0] the[0] best[1] Hotel[0] In[0] Lake[0] Tahoe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice place to relax with your K9	Nice place to relax with your K9	3	-1	 Nice[1] place[0] to[0] relax[2] with[0] your[0] K9[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice Hotel, close to family & the beach	Nice Hotel, close to family & the beach	2	-1	 Nice[1] Hotel[0] close[0] to[0] family[0] &[0] the[0] beach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Much better than expected!!	Much better than expected!	2	-1	 Much[0] better[0] than[0] expected[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great place to stay in Lake Tahoe	Great place to stay in Lake Tahoe	3	-1	 Great[2] place[0] to[0] stay[0] in[0] Lake[0] Tahoe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Location and nice employees	Great Location and nice employees	3	-1	 Great[2] Location[0] and[0] nice[1] employees[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A great lake tahoe trip	A great lake tahoe trip	3	-1	 A[0] great[2] lake[0] tahoe[0] trip[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Lake View	Lake View	1	-1	 Lake[0] View[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great price	Great price	3	-1	 Great[2] price[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
very good hotel	very good hotel	3	-1	 very[0] good[1][1 LastWordBoosterStrength] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Inn by the Lake is great!	In by the Lake is great!	3	-1	 Inn/In[0] by[0] the[0] Lake[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Okay Hotel Experience	Okay Hotel Experience	1	-1	 Okay[0] Hotel[0] Experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Kocina Family Reunion	Kocina Family Reunion	1	-1	 Kocina[0] Family[0] Reunion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Night staff rude and condescending.	Night staff rude and condescending.	1	-3	 Night[0] staff[0] rude[-2] and[0] condescending[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Great location	Great location	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Old and run down!	Old and run down!	1	-1	 Old[0] and[0] run[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Ok Place for short visit	Ok Place for short visit	1	-1	 Ok[0] Place[0] for[0] short[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great place to stay in winter	Great place to stay in winter	3	-1	 Great[2] place[0] to[0] stay[0] in[0] winter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Dated and tired	Dated and tired	1	-2	 Dated[0] and[0] tired[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Good hotel.  Great location	Good hotel.<br>  Great location	3	-1	 Good[1] hotel[0] [[Sentence=-1,2=word max, 1-5]] Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Stay Sept. 3 through 5	Stay Sept.<br> 3 through 5	1	-1	 Stay[0] Sept[0] [[Sentence=-1,1=word max, 1-5]] 3[0] through[0] 5[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great family stay in a deluxe one bedroom suite.	Great family stay in a deluxe one bedroom suite.	3	-1	 Great[2] family[0] stay[0] in[0] a[0] deluxe[0] one[0] bedroom[0] suite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
VERY DISSAPOINTING	VERY DISSAPOINTING	1	-1	 VERY[0] DISSAPOINTING[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Awesome experience!!	Awesome experience!	3	-1	 Awesome[2] experience[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great location	Great location	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Everthing you need, right on-site	Everthing you need, right on-site	1	-1	 Everthing[0] you[0] need[0] right[0] on[0] site[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Roberts Family Vacation	Roberts Family Vacation	1	-1	 Roberts[0] Family[0] Vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just alight	just alight	1	-1	 just[0] alight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice but....	Nice but.	2	-1	 Nice[1] but[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A night in Denton	A night in Denton	1	-2	 A[0] night[0] in[0] Denton[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Best Hotel in Town	Best Hotel in Town	2	-1	 Best[1] Hotel[0] in[0] Town[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Best Western Denton	Best Western Denton	2	-2	 Best[1] Western[0] Denton[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
silverdale's best hotel	silverdale's best hotel	2	-1	 silverdale's[0] best[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Wonderful	Wonderful	3	-1	 Wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice property, The staff makes the place great	Nice property, The staff makes the place great	3	-1	 Nice[1] property[0] The[0] staff[0] makes[0] the[0] place[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
What A Dump!	What A Dump!	1	-2	 What[0] A[0] Dump[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Affordable clean hotel with friendly staff	Affordable clean hotel with friendly staff	2	-1	 Affordable[0] clean[0] hotel[0] with[0] friendly[1] staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great getaway	Great getaway	3	-1	 Great[2] getaway[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Downtown highrise - close to the action	Downtown highrise - close to the action	1	-1	 Downtown[0] highrise[0] close[0] to[0] the[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Not quite as portrayed on website	Not quite as portrayed on website	1	-1	 Not[0] quite[0] as[0] portrayed[0] on[0] website[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Wonderful Find	Wonderful Find	3	-1	 Wonderful[2] Find[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
An Oasis	An Oasis	1	-1	 An[0] Oasis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
More like a 3.75	More like a 3.75	2	-1	 More[0] like[1] a[0] 3[0] .75[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Beautiful property	Beautiful property	3	-1	 Beautiful[2] property[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Clean Rooms, Friendly Service, and Free Wine	Clean Rooms, Friendly Service, and Free Wine	2	-1	 Clean[0] Rooms[0] Friendly[1] Service[0] and[0] Free[0] Wine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Amazing water views of Mission Bay	Amazing water views of Mission Bay	3	-1	 Amazing[2] water[0] views[0] of[0] Mission[0] Bay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Dana on Mission Bay 2016	Dana on Mission Bay 2016	1	-1	 Dana[0] on[0] Mission[0] Bay[0] 2016[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Awesome stay!!	Awesome stay!	3	-1	 Awesome[2] stay[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Happy	Happy	2	-1	 Happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
No Better place to stay in San Diago	No Better place to stay in San Diago	1	-1	 No[0] Better[0] place[0] to[0] stay[0] in[0] San[0] Diago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
SD	SD	1	-1	 SD[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location right on Lake Tahoe!	Great location right on Lake Tahoe!	3	-1	 Great[2] location[0] right[0] on[0] Lake[0] Tahoe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Clean and comfortable	Clean and comfortable	2	-1	 Clean[0] and[0] comfortable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Okay if you don't need fancy.	Okay if you don't need fancy.	1	-1	 Okay[0] if[0] you[0] don't[0] need[0] fancy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Clean and cozy	Clean and cozy	2	-1	 Clean[0] and[0] cozy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Not suitable for biz travel	Not suitable for biz travel	1	-1	 Not[0] suitable[0] for[0] biz[0] travel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Sorry, but we will not be back!	Sorry, but we will not be back!	1	-2	 Sorry[-1] but[0] we[0] will[0] not[0] be[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Mostly satisfied....	Mostly satisfied.	2	-1	 Mostly[0] satisfied[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pleasantly surprised	pleasantly surprised	3	-1	 pleasantly[2] surprised[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Winter rental	Winter rental	1	-1	 Winter[0] rental[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3 great nights at Aqua Blue Inn	3 great nights at Aqua Blue In	3	-1	 3[0] great[2] nights[0] at[0] Aqua[0] Blue[0] Inn/In[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
very nice and clean hotel.	very nice and clean hotel.	3	-1	 very[0] nice[1][1 LastWordBoosterStrength] and[0] clean[0] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Family stay, 3 kids, overall good stay	Family stay, 3 kids, overall good stay	2	-1	 Family[0] stay[0] 3[0] kids[0] overall[0] good[1] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice little hotel in a fun location.	Nice little hotel in a fun location.	2	-1	 Nice[1] little[0] hotel[0] in[0] a[0] fun[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good place close to the beach	Good place close to the beach	2	-1	 Good[1] place[0] close[0] to[0] the[0] beach[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great hotel	Great hotel	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Customer Service!	Great Customer Service!	3	-1	 Great[2] Customer[0] Service[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Solid choice for a quick stay	Solid choice for a quick stay	1	-1	 Solid[0] choice[0] for[0] a[0] quick[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very nice facility with friendly staff	Very nice facility with friendly staff	3	-1	 Very[0] nice[1][1 LastWordBoosterStrength] facility[0] with[0] friendly[1] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Convenient to CMH Airport	Convenient to CMH Airport	1	-1	 Convenient[0] to[0] CMH[0] Airport[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
40,000 Points down the drain	40,00 Points down the drain	1	-1	 40[0] ,000/,00[0] Points[0] down[0] the[0] drain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice place in downtown Tacoma.	Nice place in downtown Tacoma.	2	-1	 Nice[1] place[0] in[0] downtown[0] Tacoma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Industrial, vacant area... Great hotel.	Industrial, vacant area.<br> Great hotel.	3	-1	 Industrial[0] vacant[0] area[0] [[Sentence=-1,1=word max, 1-5]] Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
My First Business Trip was a Success and This was Part of the Reason Why	My First Business Trip was a Success and This was Part of the Reason Why	3	-1	 My[0] First[0] Business[0] Trip[0] was[0] a[0] Success[2] and[0] This[0] was[0] Part[0] of[0] the[0] Reason[0] Why[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Family Weekend Getaway	Family Weekend Getaway	1	-1	 Family[0] Weekend[0] Getaway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Less than I expected from Hyatt	Less than I expected from Hyatt	1	-1	 Less[0] than[0] I[0] expected[0] from[0] Hyatt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Wonderful Hotel	Wonderful Hotel	3	-1	 Wonderful[2] Hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice hotel :-)	Nice hotel hotel	2	-1	 Nice[1] hotel[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Horrible front desk staff	Horrible front desk staff	1	-4	 Horrible[-3] front[0] desk[0] staff[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Nice staff, terrible breakfast	Nice staff, terrible breakfast	2	-4	 Nice[1] staff[0] terrible[-3] breakfast[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
Exceeded Expectations	Exceeded Expectations	1	-1	 Exceeded[0] Expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Friendly, Extremely Efficient Service	Friendly, Extremely Efficient Service	2	-1	 Friendly[1] Extremely[0] Efficient[0] Service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Another great stay	Another great stay	3	-1	 Another[0] great[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fresno business trip	Fresno business trip	1	-1	 Fresno[0] business[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Stay	Great Stay	3	-1	 Great[2] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
5 star Hotel	5 star Hotel	1	-1	 5[0] star[0] Hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Above Beyond	Above Beyond	1	-1	 Above[0] Beyond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Business stay	Business stay	1	-1	 Business[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I would recommend	I would recommend	1	-1	 I[0] would[0] recommend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A comfortable, convenient hotel	A comfortable, convenient hotel	2	-1	 A[0] comfortable[1] convenient[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A Pleasurable Business Stay.	A Pleasurable Business Stay.	3	-1	 A[0] Pleasurable[2] Business[0] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Hotel and Staff	Great Hotel and Staff	3	-1	 Great[2] Hotel[0] and[0] Staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice hotel	Nice hotel	2	-1	 Nice[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Home away from home	Home away from home	1	-1	 Home[0] away[0] from[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Enjoyable stay, comfy beds. Friendly Staff. Pricey breakfast.	Enjoyable stay, comfy beds.<br> Friendly Staff.<br> Pricey breakfast.	3	-1	 Enjoyable[2] stay[0] comfy[0] beds[0] [[Sentence=-1,3=word max, 1-5]] Friendly[1] Staff[0] [[Sentence=-1,2=word max, 1-5]] Pricey[0] breakfast[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Nice stay	Nice stay	2	-1	 Nice[1] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Elvis Slept Here, and Now I Know Why	Elvis Slept Here, and Now I Know Why	1	-1	 Elvis[0] Slept[0] Here[0] and[0] Now[0] I[0] Know[0] Why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
One night	One night	1	-1	 One[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great hotel	Great hotel	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Step back in time	Step back in time	1	-1	 Step[0] back[0] in[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Cool place	Cool place	2	-1	 Cool[1] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Both Historic and Great Place to Stay	Both Historic and Great Place to Stay	3	-1	 Both[0] Historic[0] and[0] Great[2] Place[0] to[0] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Hotel	Hotel	1	-1	 Hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The worst hotel I have ever stayed at!	The worst hotel I have ever stayed at!	1	-3	 The[0] worst[-2] hotel[0] I[0] have[0] ever[0] stayed[0] at[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Try somewhere else...	Try somewhere else.	1	-1	 Try[0] somewhere[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nicer on the inside!	Nicer on the inside!	2	-1	 Nicer[1] on[0] the[0] inside[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Blood on the carpet	Blood on the carpet	1	-1	 Blood[0] on[0] the[0] carpet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Convenient & far enough from the freeway for quiet	Convenient & far enough from the freeway for quiet	1	-1	 Convenient[0] &[0] far[0] enough[0] from[0] the[0] freeway[0] for[0] quiet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Would not go here again, next time Red Lion	Would not go here again, next time Red Lion	1	-1	 Would[0] not[0] go[0] here[0] again[0] next[0] time[0] Red[0] Lion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Fantastic!	Fantastic!	3	-1	 Fantastic[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Disappointing room and stay	Disappointing room and stay	1	-2	 Disappointing[-1] room[0] and[0] stay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Nice Place to stay	Nice Place to stay	2	-1	 Nice[1] Place[0] to[0] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
One night stop over	One night stop over	1	-1	 One[0] night[0] stop[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hotel	Hotel	1	-1	 Hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Get what you expect and then some	Get what you expect and then some	1	-1	 Get[0] what[0] you[0] expect[0] and[0] then[0] some[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Surprise!	Surprise!	1	-1	 Surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Another Great Hampton Experience	Another Great Hampton Experience	3	-1	 Another[0] Great[2] Hampton[0] Experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The PLACE to stay in Camarillo!	The PLACE to stay in Camarillo!	1	-1	 The[0] PLACE[0] to[0] stay[0] in[0] Camarillo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Love this place!!!!!	Love this place!	3	-1	 Love[2] this[0] place[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Excellent room, but a little noisy	Excellent room, but a little noisy	4	-1	 Excellent[3] room[0] but[0] a[0] little[0] noisy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Genuine staff	Genuine staff	1	-1	 Genuine[0] staff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very good hotel, with clever staff!	Very good hotel, with clever staff!	3	-1	 Very[0] good[1][1 LastWordBoosterStrength] hotel[0] with[0] clever[0] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Bummed	Bummed	1	-1	 Bummed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Comfortable	Comfortable	2	-1	 Comfortable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Has gone downhill	Has gone downhill	1	-1	 Has[0] gone[0] downhill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hampton is Happening in Camarillo!	Hampton is Happening in Camarillo!	1	-1	 Hampton[0] is[0] Happening[0] in[0] Camarillo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent	Excellent	4	-1	 Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Shopping trip	Shopping trip	1	-1	 Shopping[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent service!	Excellent service!	4	-1	 Excellent[3] service[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
First come first serve/Change the curtain	First come first serve/Change the curtain	1	-1	 First[0] come[0] first[0] serve/Change[0] the[0] curtain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Stupendous Stay	Stupendous Stay	1	-1	 Stupendous[0] Stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Biz trip stay	Biz trip stay	1	-1	 Biz[0] trip[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Family Wedding	Family Wedding	1	-1	 Family[0] Wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Everything I wanted - A complete surprise.	Everything I wanted - A complete surprise.	1	-1	 Everything[0] I[0] wanted[0] A[0] complete[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The pool was much too cold and not as nice as the pictures	The pool was much too cold and not as nice as the pictures	1	-2	 The[0] pool[0] was[0] much[0] too[0] cold[-1] and[0] not[0] as[0] nice[1][NegatedDueToPreviousWord] as[0] the[0] pictures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Good customer service, decent hotel	Good customer service, decent hotel	2	-1	 Good[1] customer[0] service[0] decent[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I would stay there again	I would stay there again	1	-1	 I[0] would[0] stay[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Clean, Affordable, and Convenient	Clean, Affordable, and Convenient	1	-1	 Clean[0] Affordable[0] and[0] Convenient[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Terrible hotel	Terrible hotel	1	-4	 Terrible[-3] hotel[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Dirty bathroom and rude staff	Dirty bathroom and rude staff	1	-3	 Dirty[-1] bathroom[0] and[0] rude[-2] staff[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
customer needs invoice ALWAYS	customer needs invoice ALWAYS	1	-1	 customer[0] needs[0] invoice[0] ALWAYS[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good hotel, poor water pressure in showers	Good hotel, poor water pressure in showers	2	-2	 Good[1] hotel[0] poor[-1] water[0] pressure[-1] in[0] showers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
best place!	best place!	2	-1	 best[1] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
displeased	displeased	1	-3	 displeased[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
I really enjoyed my stay the b...	I really enjoyed my stay the b.	4	-1	 I[0] really[0] enjoyed[2][1 LastWordBoosterStrength] my[0] stay[0] the[0] b[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Great hotel!	Great hotel!	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Home from home!	Home from home!	1	-1	 Home[0] from[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
My first choice when in Lafayette, Louisiana	My first choice when in Lafayette, Louisiana	1	-1	 My[0] first[0] choice[0] when[0] in[0] Lafayette[0] Louisiana[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
best best western ever	best best western ever	2	-1	 best[1] best[1] western[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great Customer Serviice	Great Customer Service	3	-1	 Great[2] Customer[0] Serviice/Service[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ABVI ripped us off for 308.00	ABVI ripped us off for 308.00	1	-1	 ABVI[0] ripped[0] us[0] off[0] for[0] 308[0] .00[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Staff wasn't knowledgeable	Staff wasn't knowledgeable	1	-1	 Staff[0] wasn't[0] knowledgeable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Boise stay	Boise stay	1	-1	 Boise[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
